polygon,x,y
1,462552.04,5302110.97
1,462597.29,5302212.06
1,462643.87,5302314.6
1,462659.8,5302464.53
1,462576.96,5302780.3
1,462455.26,5303080.14
1,462421.73,5303294
1,462437.94,5303351.65
1,462486.52,5303391.73
1,462531.04,5303456.63
1,462641.05,5303597.54
1,462773.59,5303809.39
1,462825.61,5303974.48
1,463017.64,5304133.92
1,463100.33,5304198.42
1,463196.56,5304268.71
1,463277.22,5304378.23
1,463326.82,5304505.53
1,463421.33,5304601.13
1,463476.16,5304741.2
1,463548.27,5304853.26
1,463583.79,5304881.04
1,463607.34,5304924.42
1,463607.9,5305030.61
1,463585.64,5305303.06
1,463588.86,5305426.26
1,463537.96,5305707.84
1,463517.01,5305918.14
1,463504.48,5306019.6
1,463593.03,5306166.41
1,463671.7,5306182.44
1,463715.95,5306233.05
1,463678.63,5306364.5
1,463666.51,5306443.29
1,463733.22,5306556.84
1,463807.68,5306848.55
1,463862.56,5306954.63
1,463952.57,5307049.22
1,464030.66,5307144.98
1,464166.1,5307185.02
1,464295.22,5307247.33
1,464378.84,5307329.55
1,464491.18,5307395.44
1,464618.28,5307439.96
1,464720.11,5307521.38
1,464799.08,5307615.37
1,464872.94,5307726.01
1,465011.38,5307778.65
1,465166.45,5307785.16
1,465276.28,5307857.56
1,465404.29,5307901.63
1,465667.16,5308010.49
1,465520.69,5307812.17
1,465352.52,5307778.2
1,465253.05,5307695.6
1,465124.67,5307659.81
1,465014.22,5307586.01
1,464943.13,5307474.66
1,464866.7,5307387.88
1,464745.59,5307314.77
1,464617.8,5307281.31
1,464503.42,5307211.52
1,464405.09,5307147.63
1,464275.02,5307076.23
1,464194.95,5306991.68
1,464064.15,5306940.99
1,464001.17,5306823.01
1,463968.18,5306667.07
1,463927.04,5306554.04
1,463937.55,5306362.01
1,463921.68,5306208.66
1,463911.68,5306024.59
1,463814.05,5305950.38
1,463726.02,5305871.68
1,463776.43,5305467.79
1,463839.98,5305213.68
1,463721.4,5304929.56
1,463712.88,5304880.87
1,463719.82,5304710.43
1,463711.79,5304635.37
1,463624.15,5304548.61
1,463540.78,5304465.95
1,463464.17,5304365.23
1,463385,5304258.06
1,463319.87,5304149.29
