Pretests,Probe MD,Mud Pres. Before,Temp. Before,Formation Pres.,DD Mobility,Mud Pres. After,Temp. After,Pretest Status
1,762.45,91.42959962,32.16,,,91.41333663,32.5,Tight Test
2,751.94,90.12658677,32.58,,,90.12168746,32.72,Dry Test
3,749.67,89.83324046,32.77,,,89.83711909,32.8,No Seal
4,745.69,89.34126788,32.82,,,89.33929455,32.85,No Seal
5,738.85,88.50021932,32.87,81.53993008,0.06,88.4818469,32.95,Valid Test
6,736.7,88.20871026,32.97,,,88.20401509,32.98,Tight Test
7,733.96,87.86541819,32.98,,,87.86623474,32.99,Dry Test
8,723.27,86.55907108,32.96,84.61703824,0.07,86.55138188,32.78,Valid Test
9,721.77,86.36711332,32.77,81.3132008,2.28,86.3623501,32.79,Valid Test
10,719.01,86.01456699,32.81,85.38119482,0.26,86.00817067,32.85,Valid Test
11,717.03,85.7608915,32.86,84.80062635,0.12,85.74843908,32.83,Valid Test
12,713.23,85.27545134,32.83,,,85.2700757,32.82,Dry Test
13,710.95,84.99081492,32.8,84.6687532,0.03,84.98523515,32.75,Valid Test
14,708.8,84.71407184,32.75,84.57784375,0.21,84.70352471,32.71,Valid Test
15,704.38,84.16582522,32.7,,,84.15881648,32.66,No Seal
16,668.87,79.8673594,32.56,63.31530599,358.34,79.85164077,32.32,Valid Test
17,668.11,79.75134097,32.26,,,79.75195338,32.22,Dry Test
18,662.94,79.11776466,32.18,62.76175178,269.62,79.11653983,32.15,Valid Test
19,660.81,78.85054802,32.12,62.57619034,47.38,78.84524043,32.08,Valid Test
20,658.82,78.59959437,32.07,62.40573511,354.97,78.59809736,32.04,Valid Test
21,656.84,78.34680348,32.03,62.23541597,396.08,78.34204026,32.02,Valid Test
22,655.02,78.11197673,32.02,62.0740789,752.58,78.10034087,32,Valid Test
23,652.58,77.79808054,31.99,61.8657901,309.69,77.77984421,31.97,Valid Test
24,646.79,77.06971615,31.95,60.94608036,103.75,77.05522235,31.87,Valid Test
25,644.03,76.71097764,31.84,60.63136761,35.06,76.69233304,31.8,Valid Test
26,641.61,76.3859219,31.8,60.4053188,88.06,76.36952281,31.8,Valid Test
27,639.17,76.05195213,31.79,60.19247091,47.28,76.03351166,31.74,Valid Test
28,633.98,75.39102133,31.73,59.16375148,7.14,75.35216707,31.65,Valid Test
29,632,75.09508928,31.64,58.08549457,11.25,75.07270214,31.59,Valid Test
30,628.94,74.68334293,31.58,56.32487236,15.28,74.65469557,31.45,Valid Test
31,620.72,73.65918259,31.44,53.60677489,141.99,73.63733982,31.28,Valid Test
32,618.13,73.27751257,31.26,59.2263538,0.04,73.24321739,31.14,Valid Test
33,616.3,73.0081865,31.15,58.74601709,7.29,72.98552719,31.16,Valid Test
34,601.37,71.15699507,31.14,58.30596361,199.47,71.1438622,30.94,Valid Test
35,597.25,70.6301149,30.88,57.90598922,167.1,70.62079259,30.84,Valid Test
36,594.21,70.24545086,30.84,57.60651877,484.64,70.22217913,30.84,Valid Test
37,591.62,69.89487787,30.85,57.34379317,166.73,69.87521257,30.78,Valid Test
38,574.22,67.75469507,30.7,55.57561786,325.11,67.74108587,30.56,Valid Test
39,570.29,67.25748295,30.46,55.19823474,388.48,67.25442088,30.38,Valid Test
40,566.61,66.79592693,30.35,54.82683967,431.09,66.7855159,30.29,Valid Test
41,560.83,66.08355336,30.27,54.27981788,92.52,66.07171336,30.17,Valid Test
42,557.77,65.69126817,30.11,54.07744907,43.47,65.68963507,29.99,Valid Test
43,555.34,65.38336002,29.97,53.94360259,33.22,65.37723588,30.01,Valid Test
44,552.46,65.0222399,30.02,53.68591239,53.73,65.00420771,30.03,Valid Test
45,492.09,57.68300248,29.82,48.06245486,21.42,57.67191098,29.34,Valid Test
46,489.04,57.29677338,29.18,49.10668877,0.01,57.27690395,28.85,Valid Test
47,486.01,56.90632543,28.84,,,56.92109141,28.82,No Seal
48,482.95,56.52451933,28.79,,,56.52519979,28.75,No Seal
49,480.21,56.1873514,28.73,47.00638094,110.23,56.17231323,28.69,Valid Test
50,467.27,54.58847453,28.65,46.56517067,4.33,54.57724694,28.42,Valid Test
51,464.66,54.2462712,28.36,46.7705335,8.15,54.21605878,28.37,Valid Test
52,463.14,54.00076123,28.5,46.6845914,0.97,53.97456352,28.42,Valid Test
53,461.76,53.82370554,28.26,46.41152281,11.31,53.80240714,28.3,Valid Test
54,457.06,53.21319683,28.3,45.21854033,22.91,53.20224142,28.17,Valid Test
55,446.52,51.91549156,28.12,44.14239284,64.51,51.90589708,27.93,Valid Test
56,444.4,51.6367071,27.9,43.96227508,68.81,51.63745561,27.79,Valid Test
57,441.95,51.33710056,27.8,40.61624912,0.3,51.31546193,27.77,Valid Test
58,268.07,30.2915615,26.39,26.53800805,0.54,30.32401944,24.99,Valid Test
59,265.47,29.98725979,24.91,24.59638348,1.13,29.974263,24.57,Valid Test
60,262.44,29.59905736,24.51,24.32263442,9.33,29.58776172,24.3,Valid Test
61,259.84,29.2657,24.29,24.0730417,30.33,29.25161448,24.19,Valid Test
62,257.25,28.93853483,24.17,23.92953268,17.15,28.92662678,24.12,Valid Test
63,254.97,28.6464814,24.12,23.98587477,2.04,28.61572461,24.03,Valid Test
64,251.31,28.15185503,24.02,23.84549587,1.7,28.14192031,23.9,Valid Test
65,248.24,27.7550788,23.88,,,27.72847282,23.85,Dry Test
66,245.37,27.38300327,23.85,13.18928813,0.32,27.67798268,23.8,Valid Test
67,218.85,24.17164035,23.74,,,24.23111255,23.66,No Seal
68,208.92,22.95470569,23.55,18.8750758,3.09,22.99975214,23.3,Valid Test
69,205.12,22.517306,23.22,18.5357304,22.74,22.5352021,23.1,Valid Test
70,200.1,21.90761384,23.06,,,21.93483224,23,No Seal
71,192.64,21.00933859,22.93,17.20992214,196.24,21.01791239,22.8,Valid Test
72,187.76,20.41604552,22.74,16.73067416,108.12,20.41441241,22.68,Valid Test
73,183.34,19.88072764,22.65,16.29933056,270.87,19.87201775,22.57,Valid Test
74,171.44,18.45353083,22.53,15.13676465,199.6,18.4515575,22.38,Valid Test
75,166.41,17.84268189,22.33,14.64860265,772.26,17.83975591,22.24,Valid Test
76,159.42,17.00374276,22.2,13.96433207,212.86,17.00006827,22.11,Valid Test
77,152.7,16.19991536,22.07,,,16.19971122,22.03,No Seal
