Pretests,Probe MD,Mud Pres. Before,Formation Pres.,DD Mobility,Mud Pres. After,Temp. After,Pretest Status
1,458.27,54.92468982,,,54.8008461,30.63,
2,458.54,54.9063174,,,54.80220702,30.69,
3,458.74,54.93421626,,,54.85596336,30.6,
4,460.33,55.11726,,,55.151283,30.72,
5,462.83,55.43503482,46.52509158,4.43,55.45476816,30.69,Valid Test
6,463.94,55.5731682,,,55.57384866,30.64,
7,464.94,55.71130158,47.10076074,0.56,55.6990533,30.59,Valid Test
8,466.45,55.89910854,46.64417208,44.55,55.89570624,30.63,Valid Test
9,474.93,56.93612958,,,56.92592268,30.77,
10,476.53,57.13890666,47.223924,8.44,57.12393654,30.91,Valid Test
11,494.16,59.24016714,48.9012579,101.43,59.23132116,31.15,Valid Test
12,498.43,59.75595582,49.3197408,578.39,59.74506846,31.32,Valid Test
13,501.8,60.17103642,49.6531662,26.88,60.16219044,31.73,Valid Test
14,538.24,64.49127696,53.20788924,105.01,64.48107006,32.03,Valid Test
15,547.13,65.52013248,54.08568264,88.34,65.52897846,32.14,Valid Test
16,575.24,67.8452643,56.410134,190.27,67.81600452,32.86,Valid Test
17,582.43,68.73394506,57.11713194,521.15,68.73802782,33.12,Valid Test
18,597.43,70.51675026,58.53521058,66.98,70.51675026,33.24,Valid Test
19,608.12,71.84704956,59.5980891,397.01,71.80826334,33.53,Valid Test
20,624.34,73.81425942,61.92594276,4.83,73.8128985,33.84,Valid Test
21,638,75.45212664,,,75.39428754,33.97,
22,638.32,75.52017264,,,75.49499562,34.06,
23,642.03,75.98288544,63.33585588,13.03,75.96519348,34.12,Valid Test
24,644.32,76.2931752,68.56791282,0.31,76.25779128,34.15,Valid Test
25,648.23,76.79399376,63.96800322,5.23,76.76405352,34.29,Valid Test
26,649.74,76.99881222,64.51985628,0.58,76.97091336,34.35,Valid Test
27,652.73,77.38327212,64.08027912,82.98,77.36626062,34.35,Valid Test
28,654.94,77.67314808,64.49604018,2.33,77.65205382,34.36,Valid Test
29,657.72,78.03311142,65.66575092,0.25,78.01201716,34.41,Valid Test
30,662.03,78.59108862,,,78.58020126,34.54,
31,662.37,78.61082196,64.73488164,5.8,78.59313,34.48,Valid Test
32,665.92,79.07489568,65.15472546,9.64,79.06128648,34.6,Valid Test
33,669.53,79.52604066,65.4500451,6.42,79.50766824,34.65,Valid Test
34,670.98,79.72677636,65.63104746,11.69,79.71112578,34.68,Valid Test
35,671.93,79.87375572,,,79.851981,34.71,
36,675.23,80.28475356,,,80.27590758,34.73,
37,677.02,80.5392456,67.1579997,0.94,80.51406858,34.75,Valid Test
38,678.62,80.75631234,67.03619736,814.61,80.73725946,34.87,Valid Test
39,681.33,81.11627568,,,81.08225268,35.13,
40,728.33,86.68311894,,,86.67971664,35.65,
41,730.42,86.9457765,,,86.94373512,35.65,
42,732.72,87.2281674,,,87.23429154,35.66,
43,735.22,87.52825026,,,87.53029164,35.61,
44,738.03,87.89025498,,,87.88072854,35.54,
45,740.49,88.22299992,,,88.22027808,35.32,
46,740.73,88.27403442,,,88.26110568,35.16,
47,740.73,88.23797004,,,88.22912406,35.43,
48,744.64,88.78914264,,,88.7728116,33.69,
49,744.99,88.80003,,,1304.96,34.49,
