Скважина,Дата отбора,Точка отбора,Сервисная компания,Лаборатория,Интервал отбора,Горизонт,Давление (атм),Температура (С),Давление насыщения (атм),Газовый фактор (м3/т),Плотность нефти (г/cм3),Объемный коэффициент (Во),Вязкость (сП)
323,15-05-22,Глубинная,ГК ГИС-сервис,Stratum CER,651-666,J1-IV-1,68,30,13.61,1.45,0.6969,1.0299,93.8
318,30-05-22,Глубинная,ГК ГИС-сервис,Stratum CER,887-905,T1-II,65,31.7,6.67,3.76,0.8365,1.01,6.481
314,19-05-22,Глубинная,ГК ГИС-сервис,Stratum CER,654-659; 671-682,J1-IV-1 / J1-IV-2,65,30,11.52,1.63,0.8792,1.0039,14.981
304,27-06-22,Глубинная,ГК ГИС-сервис,Stratum CER,669-673,J1-IV-1 / J1-IV-2,45.1,17.9,3.25,0.25,0.8825,1.001,314.6
303,04-09-22,Сепаратор,ГК ГИС-сервис,Stratum CER,651-656; 668-670; 686-688,J1-IV-1 / J1-IV-2,65.5,27.5,2.89,0.38,0.8935,1.0029,352.042
317,04-09-22,Сепаратор,ГК ГИС-сервис,Stratum CER,674-680; 684-686,J1-IV-2,60,28.2,2.03,0.23,0.8786,1.0034,273.2
309,21-06-23,Глубинная,ГК ГИС-сервис,Stratum CER,634-646,J1-IV-1,51.2,29.2,8.49,1.11,0.9009,1.0028,152.7
310,09-07-23,Глубинная,ГК ГИС-сервис,Stratum CER,612.5-618.5; 629-638,J1-IV-1 / J1-IV-2,43.5,30.1,22.25,6.1,0.8902,1.0132,69.9
КН-2,16-08-23,Глубинная,ГК ГИС-сервис,Stratum CER,708–724.5,T1-II,67.5,31.7,11.92,3.26,0.8605,1.0104,17.1
328,14-10-23,Глубинная,ГК ГИС-сервис,Stratum CER,488-494; 505-510,J2,31.2,25.2,4.36,0.78,0.9027,1.002,225.6
314,01-09-24,Глубинная,ГК ГИС-сервис,Stratum CER,426-433,J2,17.51,23.71,5.2,1.354,0.8779,1.0037,134.658
Г-17,05-07-22,Глубинная,ГК ГИС-сервис,Stratum CER,761-763; 764.5-766; 768-770,T1-III,65,24.7,7.27,1.36,0.8823,1.0039,18.563
Г-29,30-06-22,Глубинная,ГК ГИС-сервис,Stratum CER,671-676,J1-IV-1,31.1,17.2,3.99,1.5,0.8505,1.0013,29.7
329,25-05-22,Глубинная,ГК ГИС-сервис,Stratum CER,850-858,T1-II,51.72,33,44.5,22.07,0.719,1.2623,3.9
Г-16,21-05-22,Глубинная,ГК ГИС-сервис,Stratum CER,830-837; 855-875,T1-III,102.8,36,10.56,2.15,0.8438,1.0054,7.356
335,26-10-23,Глубинная,ГК ГИС-сервис,Stratum CER,732-754.5,T1-II,64.1,30.4,20.47,7.81,0.8498,1.0221,7.183
336,20-11-23,Глубинная,ГК ГИС-сервис,Stratum CER,446-450; 466-468; 475.5-477.5; 481-490,J2,28.9,21.7,5.23,0.54,0.9075,1.0015,865.119
КН-3,08-11-23,Глубинная,ГК ГИС-сервис,Stratum CER,941.4-954; 955.8-963.8,I-P2,70.2,31.8,6.83,1.69,0.8413,1.011,9.004
КН-5,18-06-24,Глубинная,ГК ГИС-сервис,Stratum CER,652.5-654.5; 661.5-666.5; 670.5-680.5,J1-IV-1 / J1-IV-2,60.94,31.15,13.48,2.97,0.8641,1.0123,28.473
338,02-06-24,Глубинная,ГК ГИС-сервис,Stratum CER,975-985,T1-II,86.74,35.01,6.46,1.65,0.8323,1.0067,3.876
КН-3,09-07-24,Глубинная,ГК ГИС-сервис,Stratum CER,911-928,T1-II,64.23,34.18,15.23,5.33,0.8177,1.0226,2.504
356,24-08-24,Глубинная,ГК ГИС-сервис,Stratum CER,424.5-428; 466-471; 480-485,J2,33.26,23.25,4.55,1.226,0.8724,1.0034,94.424
353,16-09-24,Глубинная,ГК ГИС-сервис,Stratum CER,457.5-462.5; 466.8-469; 471-478.4,J2,39.59,24.5,5.27,1.43,0.8734,1.0042,106.524
350,20-10-24,Глубинная,ГК ГИС-сервис,Stratum CER,475-478.5,J2,7.96,26,4.83,1.565,0.8741,1.0061,112.311
356,25-09-24,Глубинная,ГК ГИС-сервис,Stratum CER,641.1-642.8; 643.9-645.3; 654.5-657.5,J1-IV-1 / J1-IV-2,63.9,31,27.19,10.365,0.855,1.0236,21.938
