Well,Plug,Sw,Krw,Kro
KH-2,32ds,46.44,0.00000,1.00000
KH-2,32ds,47.09,0.00019,0.96004
KH-2,32ds,47.74,0.00066,0.91852
KH-2,32ds,48.39,0.00135,0.87570
KH-2,32ds,49.03,0.00226,0.83186
KH-2,32ds,49.68,0.00338,0.78731
KH-2,32ds,50.33,0.00470,0.74235
KH-2,32ds,50.98,0.00622,0.69732
KH-2,32ds,51.62,0.00795,0.65253
KH-2,32ds,52.27,0.00988,0.60829
KH-2,32ds,52.92,0.01201,0.56490
KH-2,32ds,53.57,0.01435,0.52261
KH-2,32ds,54.22,0.01688,0.48168
KH-2,32ds,54.86,0.01962,0.44230
KH-2,32ds,55.51,0.02256,0.40464
KH-2,32ds,56.16,0.02570,0.36885
KH-2,32ds,56.81,0.02905,0.33502
KH-2,32ds,57.45,0.03259,0.30321
KH-2,32ds,58.10,0.03633,0.27346
KH-2,32ds,58.75,0.04027,0.24577
KH-2,32ds,59.40,0.04440,0.22012
KH-2,32ds,60.04,0.04872,0.19646
KH-2,32ds,60.69,0.05324,0.17474
KH-2,32ds,61.34,0.05793,0.15489
KH-2,32ds,61.99,0.06281,0.13680
KH-2,32ds,62.64,0.06787,0.12039
KH-2,32ds,63.28,0.07310,0.10557
KH-2,32ds,63.93,0.07849,0.09222
KH-2,32ds,64.58,0.08404,0.08024
KH-2,32ds,65.23,0.08975,0.06954
KH-2,32ds,65.87,0.09561,0.06001
KH-2,32ds,66.52,0.10160,0.05156
KH-2,32ds,67.17,0.10773,0.04408
KH-2,32ds,67.82,0.11399,0.03751
KH-2,32ds,68.46,0.12036,0.03174
KH-2,32ds,69.11,0.12684,0.02670
KH-2,32ds,69.76,0.13342,0.02233
KH-2,32ds,70.41,0.14009,0.01855
KH-2,32ds,71.05,0.14684,0.01529
KH-2,32ds,71.70,0.15366,0.01250
KH-2,32ds,72.35,0.16055,0.01014
KH-2,32ds,73.00,0.16749,0.00814
KH-2,32ds,73.65,0.17447,0.00646
KH-2,32ds,74.29,0.18149,0.00506
KH-2,32ds,74.94,0.18853,0.00392
KH-2,32ds,75.59,0.19559,0.00298
