Date,Well,Horizon,Pump,H_m,Ptr_atm,Pztr_atm,Time_hr,Ql_m3,Qo_m3,Qw_m3,Qo_ton,Qi_m3
2022-07-20,302,IV-J1,100.0,0.0,,,,36.0,32.0,4.0,29.2,
2022-07-20,315,IV-J1,100.0,0.0,,,,23.8,21.5,2.3,19.6,
2022-07-20,322,IV-J1,100.0,149.0,,,,31.2,6.5,24.7,5.9,
2022-07-21,301,IV-J1,100.0,,,,,28.0,24.6,3.4,22.4,
2022-07-21,302,IV-J1,100.0,0.0,,,,36.0,33.8,2.2,30.8,
2022-07-21,303,IV-J1,120.0,0.0,,,,30.0,25.8,4.2,23.5,
2022-07-21,305,IV-J1,100.0,0.0,,,,28.8,27.0,1.8,24.5,
2022-07-21,306,T1-II,100.0,,,,,28.0,24.1,3.9,21.9,
2022-07-21,307,IV-J1,100.0,0.0,,,,47.0,44.6,2.4,40.6,
2022-07-21,308,IV-J1,100.0,0.0,,,,43.0,40.8,2.2,37.1,
2022-07-21,311,IV-J1,120.0,0.0,,,,29.0,27.2,1.8,24.8,
2022-07-21,312,T1-II,100.0,,,,,28.5,25.5,3.0,23.2,
2022-07-21,314,IV-J1,100.0,0.0,,,,30.0,25.2,4.8,23.0,
2022-07-21,315,IV-J1,100.0,0.0,,,,23.8,21.5,2.3,19.6,
2022-07-21,317,IV-J1,100.0,0.0,,,,30.3,28.2,2.1,25.6,
2022-07-21,318,P2-1,80.0,,,,,28.0,19.9,8.1,18.1,
2022-07-21,321,IV-J1,100.0,,,,,27.0,25.1,1.9,22.8,
2022-07-21,322,IV-J1,100.0,0.0,,,,31.2,26.4,4.8,24.0,
2022-07-21,323,IV-J1,100.0,,,,,27.0,24.6,2.4,22.4,
2022-07-21,329,T1-II,150.0,30.0,,,,28.0,19.7,8.3,17.9,
2022-07-21,332,IV-J1,100.0,39.0,,,,32.0,29.7,2.3,27.0,
2022-07-21,1-КН,IV-J1,100.0,,,,,28.0,26.6,1.4,24.2,
2022-07-21,Г-16,T1-II,100.0,,,,,30.0,27.6,2.4,25.1,
2022-07-22,301,IV-J1,80.0,0.0,,,,28.0,24.9,3.1,22.7,
2022-07-22,302,IV-J1,100.0,0.0,,,,36.0,32.8,3.2,29.8,
2022-07-22,303,IV-J1,80.0,0.0,,,,39.0,21.4,17.6,19.5,
2022-07-22,305,IV-J1,80.0,0.0,,,,28.8,27.5,1.3,25.0,
2022-07-22,306,T1-II,100.0,0.0,,,,28.0,25.2,2.8,22.9,
2022-07-22,307,IV-J1,100.0,0.0,,,,47.0,45.0,2.0,41.0,
2022-07-22,308,IV-J1,100.0,0.0,,,,43.0,40.7,2.3,37.0,
2022-07-22,311,IV-J1,80.0,0.0,,,,29.0,25.3,3.7,23.0,
2022-07-22,312,T1-II,100.0,0.0,,,,28.5,25.3,3.2,23.0,
2022-07-22,314,IV-J1,100.0,0.0,,,,30.0,27.9,2.1,25.4,
2022-07-22,315,IV-J1,80.0,0.0,,,,23.8,19.2,4.6,17.5,
2022-07-22,317,IV-J1,80.0,0.0,,,,30.3,27.9,2.4,25.4,
2022-07-22,318,P2-1,80.0,560.0,,,,28.0,19.8,8.2,18.0,
2022-07-22,321,IV-J1,100.0,0.0,,,,27.0,24.2,2.8,22.0,
2022-07-22,322,IV-J1,80.0,0.0,,,,31.2,17.0,14.2,15.5,
2022-07-22,323,IV-J1,100.0,0.0,,,,27.0,25.3,1.7,23.0,
2022-07-22,329,T1-II,80.0,654.0,,,,28.0,19.9,8.1,18.1,
2022-07-22,332,IV-J1,80.0,39.0,,,,21.0,19.7,1.3,18.0,
