well,XII_a,XI_1_Br,XI_br,X_Br,IX Br,VIII_K1b,VII g(J2-?),J2_IIIa,V_J,V_J2_b,V-1,V2_J2,V3_J2,V3_b,J1-IV-2,J1-IV-1,T_BJ(base_IV-1),T Upper Part,T-II,Top_P2(I-P),P1k_anh,P1k_gal
1-КН,200.65,224.63,241.02,262.38,286.13,337.87,397.02,421.6,481.05,515.31,536.59,572.95,613.4,625.33,639.07,667.34,692.91,,771.9,828.86,,
301,201.9,217.85,233.53,260.48,283.14,330.08,387.46,417.27,473.23,508.65,529.1,568.41,610.17,619,636,661.03,681.36,,759.9,810.65,841.56,866.32
302,207.51,229.57,241.86,267.65,291.51,346.85,403,430.94,490.3,521.94,541.79,593.93,624.68,637.88,649.31,671.14,699.18,,805.5,858.39,883.2,904.68
303,211.09,233.16,255.85,274.44,311.33,348.06,404,431.12,499.42,527.02,551.73,589.83,620.09,637.08,655.12,684.98,702.68,724.66,780.83,835.56,,
304,202.06,225.56,246.23,266.27,294.35,341.29,398,427.04,489.6,520.5,540.59,583.64,611.24,631,642.62,674.81,696,713.76,797.8,839.16,874,882.0
305,194.17,217.63,230.98,253.55,275.55,327.57,382.62,411.54,465.77,504.65,526.82,563.02,601.89,616.42,633.52,658.86,677,,741.8,794.93,821,843.3
306,190.67,214.95,227.98,253.34,273.64,322.36,377.83,405,460.38,488.72,508.81,552.8,584.21,597,621.89,638.96,660.46,,712.7,753.94,787.68,806.24
307,186.5,210.94,224.79,247,276.06,320.9,373.71,401.45,461.99,491.51,515.11,552.78,583.51,598.65,620.13,642.5,660.44,,711.6,752.61,777,805.0
308,164.03,186.66,211.63,238.4,263.83,320.3,375.36,404.71,457.43,494.22,513.77,554.14,588.7,602.3,618.33,642.56,663.28,,714.4,748.42,792,813.0
309,174.49,192.7,217.79,237.82,262.44,318.22,372.2,393.02,442.84,477.61,497.42,541.35,577.87,590.2,604.69,633.12,653.88,,667.27,711.89,758,787.0
310,174.09,204.1,220.2,245.53,272.96,331.42,374.32,409.88,445.7,487.18,511.77,537.11,571.66,586.54,603.63,628.4,638.96,,649.74,692.17,739.15,764.0
311,205.85,229.13,245.04,272.58,297.17,348.43,402.63,431.55,491.66,526.98,548.35,593.32,623.54,638.78,653.38,680.86,700,,800.08,861.28,876,896.0
312,212.39,235.52,250.57,276.5,300.02,342.51,397.38,424.75,486.34,512.02,539.18,583.77,615.6,626.3,644.92,670.06,694,,794.55,839.49,870,876.05
314,201.24,226.39,244.96,268.35,292.07,340.22,394.15,425.75,480.34,515.9,538.21,587.05,616.53,633.72,647.53,669.76,692.71,,784.5,835.1,868,892.0
315,206.63,230.86,244.09,270.24,294.96,349.89,405.22,433.24,491.85,524.98,545.4,600.79,625.02,638.24,655.89,682.4,702.47,,816.5,870.61,901.43,
317,213.37,235.98,250.56,276.25,301.23,353.78,413,441.43,504.13,536.32,562.46,612.55,639.63,646.08,664.22,691.28,713,,832.9,891.61,920.98,
318,213.04,234.81,254.99,274.56,292.6,351.18,408.57,437,504,533.22,553.33,601.41,622.95,647.45,663.32,689.56,711.81,737.67,853,916.06,932,943.0
