Well,X,Y,Lat,Lon,Object,Year
Г-14,465218.2,5306958.62,47.9150077,56.5344915,Консв,<2021
Г-15,466196.5,5307508.79,47.9200099,56.5475412,Консв,<2021
Г-16,465603.14,5306648.16,47.9122353,56.539668,P&T,<2021
Г-17,467532.92,5308523,47.9292039,56.5653521,J1-IV,<2021
Г-18,468116.74,5309076.98,47.9342174,56.5731267,Консв,<2021
Г-22,467217.17,5308004.64,47.9245241,56.5611647,P&T,<2021
Г-24,464215.96,5310181.65,47.9363111,56.5600278,Консв,<2021
Г-29,466599.93,5307968.26,47.924165,56.5529053,J1-IV,<2021
Г-3,467489.33,5308913.59,47.9327159,56.5647391,Консв,<2021
Г-31,466646.75,5307235.3,47.9175729,56.5535887,P&T,<2021
Г-32,468105.49,5308532.85,47.9293213,56.5730163,Консв,<2021
Г-36,468229.77,5309834.2,47.9410358,56.5745841,Консв,<2021
Г-38,466651.24,5308149.03,47.925794,56.5535781,Консв,<2021
Г-4,466248.67,5308045.68,47.9248431,56.5481974,Консв,<2021
Г-42,469972.76,5303306.1,47.8823859,56.5983775,Консв,<2021
Г-5,466755.44,5307724.47,47.9219797,56.5550057,Консв,<2021
Г-6,466918.97,5308459.21,47.9285986,56.5571381,Консв,<2021
Г-67,462333.9,5307938.37,47.9236595,56.4958048,Консв,<2021
Г-69,464145.92,5307987.05,47.9242014,56.5200554,Консв,<2021
Г-7,465593.81,5307530.57,47.9201738,56.5394727,J1-IV,<2021
Г-72,463323.24,5307717.73,47.9217318,56.5090663,Консв,<2021
301,466174.48,5307895.19,47.9234853,56.5472161,J1-IV,<2021
302,466240.85,5307715.05,47.921868,56.5481186,J1-IV,<2021
303,467028.67,5308133.79,47.9256764,56.5586316,J1-IV,<2021
304,466783.1,5308023.95,47.9246755,56.5553528,J1-IV,<2021
305,466481.54,5308116.56,47.9254931,56.551309,J1-IV,<2021
306,466914.63,5308503.06,47.9289929,56.5570767,J1-IV,<2021
307,466769.49,5308384.04,47.9279146,56.5551429,J1-IV,<2021
308,466307.31,5308229.38,47.9264989,56.548968,J1-IV,<2021
309,466444.93,5308441.67,47.9284162,56.5507936,J1-IV,<2021
310,466595.6,5308644.6,47.9302498,56.5527949,J1-IV,<2021
311,465871.99,5307606.2,47.9208692,56.5431901,J1-IV,<2021
312,467139.84,5308307.31,47.9272433,56.5601064,J1-IV,<2021
314,466035.84,5307724.98,47.9219465,56.5453738,P&T,<2021
315,466109.31,5307574.09,47.9205929,56.546369,J1-IV,<2021
317,466008.8,5307445.74,47.9194328,56.5450339,J1-IV,<2021
318,466859.39,5307894.01,47.9235104,56.556384,P&T,<2021
321,466364.5,5307853.22,47.9231176,56.5497629,J1-IV,<2021
322,466344.56,5307588.29,47.920733,56.5495167,J1-IV,<2021
323,466280.32,5308145.37,47.9257417,56.5486133,J1-IV,<2021
328,466166.24,5308273.61,47.9268895,56.5470761,V-J2,<2021
329,466696.75,5307893.42,47.9234967,56.5542071,J1-IV,<2021
332,466603.39,5308410.77,47.9281464,56.5529173,J1-IV,<2021
1-КН,466484.43,5308000.04,47.9244449,56.5513568,J1-IV,<2021
